time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points
2018-11-27,3878.9,3613.11,3784.77,147999.31,555212127.53,3822.99,99193262.99,444344883.19,543538146.18,351818507.63,1076366797.61,1428185305.24,728337431.61,2273334422.34,3001671853.95,436895298,459678290,324276,664504,268533,360292043,6807,4.67901541791154,551759,43400746.8088026,6653303141405.96,658.415384615385,1071254,17396971.0449755,79474,30974,59811,3064440
2018-11-28,4398.57,3822.94,3822.99,175435.76,726808596.57,4263.55,113996623.87,578311772.16,692308396.03,476665603.28,1213075260.21,1689740863.49,974513801.63,2561796424.09,3536310225.72,437193646,459991752,313462,634492,254456,360546499,7810,5.34462868932157,551877,38760438.8063274,6653303141405.96,737.239316239317,1111968,17398446.0449747,79497,30994,59852,3066195
2018-11-29,4444.39,4130.68,4263.52,112103.36,479575430.64,4286.69,101792589.52,427824780.24,529617369.75,372396483.64,891079057.82,1263475541.45,770567880.4,1897150856.91,2667718737.31,437495944,460308527,316775,627382,246226,360792725,6487,4.76164467249417,551982,35654511.2040757,6653303141405.96,801.461538461539,1202130,17399758.5449747,79505,31002,59885,3067300
2018-11-30,4331.07,3916.3,4286.85,121993.57,497762735.43,4009.67,93745491.0,357988412.85,451733903.86,384746445.66,914470043.78,1299216489.44,788321688.4,1946998618.71,2735320307.11,437782547,460623487,314960,611146,250157,361042882,9525,7.41500107026919,552083,33310081.2509036,6653303141405.96,857.87,1209791,17401021.0449747,79509,31012,59915,3068340
2018-12-01,4309.65,3942.62,4009.67,67774.58,280927570.31,4197.46,88639171.73,305647799.9,394286970.45,505965116.31,725899882.98,1231864999.29,997825580.49,1572179267.91,2570004848.4,438079674,460911985,288498,611585,241847,361284729,10614,5.15269805786262,552207,41210630.7558262,6653303141405.96,693.406504065041,1068438,17402571.0449747,79511,31024,59929,3069010
2018-12-02,4318.79,4077.67,4197.7,62748.83,262154694.41,4143.86,80937426.12,235863561.58,316800987.7,419389794.64,633299708.38,1052689503.02,876340462.26,1388303501.14,2264643963.41,438343499,461176677,264692,529374,222673,361507402,7233,4.38683631386257,552321,37524476.9733014,6653303141405.96,761.522123893805,1005271,17403996.0449747,79504,31019,59954,3069440
2018-12-03,4159.01,3795.18,4143.86,107400.61,423985399.83,3871.41,82543638.78,294209277.84,376752915.54,375738688.3,642533285.5,1018271973.79,2302533103.26,1379708021.05,3682241124.31,438624922,461477470,300793,594029,240652,361748054,8347,6.17916773166456,552435,35297948.004348,6194015746026.1,753.672566371681,1101028,17405421.0449747,79507,31030,59977,3070320
2018-12-04,4082.68,3770.92,3871.41,94655.27,373361232.89,3948.44,72686034.27,256456090.08,329142125.45,367816316.0,645169193.64,1012985510.74,731126316.63,1385228499.57,2116354817.29,438994425,461838384,360914,697990,270189,362018243,8690,8.23112608685194,552573,39447229.101942,5646403851534.72,614.773722627737,1083459,17407146.0449747,79512,31044,59997,3071220
2018-12-05,3961.8,3719.19,3948.44,83811.55,320944415.67,3737.53,70006054.64,295840173.03,365846227.67,430783614.19,672355975.49,1103139589.68,839154185.61,1455843445.75,2294997631.36,439305527,462154175,315791,623076,256501,362274744,7305,6.67845596911193,552703,36598826.187126,5646403851534.72,662.62015503876,1036768,17408771.0449747,79515,31061,60020,3072250
2018-12-06,3883.43,3467.92,3737.53,159523.77,590923562.42,3485.18,70144565.16,492979341.23,563123906.39,513531984.97,872434305.54,1385966289.6,1006586986.27,1850129056.02,2856716042.29,439654351,462501790,347615,678431,279654,362554398,7229,5.84012360780582,552838,38210049.3166709,5646403851534.72,634.679104477612,1091929,17410458.5449747,79557,31083,60042,3073770
